AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,6287.7,5920.4,6044.5,5948.5,5823.8,5537.6,5771.2,1518.1,1592.5,0.0,0.0,0.0
Current_Liabilities,5734.3,5470.3,5307.1,5357.5,5334.5,5378.8,5550.1,5335.6,5345.8,0.0,0.0,0.0
Diluted_EPS,-0.308,0.159,-1.901,-0.377,0.271,-1.819,-0.703,-0.164,0.155,-0.036000000000000004,-0.361,3.305
Goodwill_Intangibles,343.1,278.0,285.6,314.9,330.8,332.1,321.0,400.8,403.3,393.4,390.9,278.1
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,606.3,463.3,561.5,646.4,633.8,686.0,723.9,820.4,828.2,762.0,743.9,702.2
Revenue,243.8,171.8,1005.8,393.3,181.8,186.6,1077.0,427.5,479.2,449.0,524.9,501.4
Shares_Diluted,77.0,76.9,50.3,46.9,46.8,45.9,44.8,45.7,58.1,44.8,44.675,46.217
Total_Assets,6935.9,6406.0,6742.8,6688.4,6633.3,6339.1,6958.3,6945.5,6883.2,6682.4,6503.8,6730.0
Total_Liabilities,6447.6,6006.0,6172.6,6300.7,6303.7,6314.7,6598.2,6530.4,6543.0,6439.0,6395.4,6519.1
