AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,06/30/2019,03/31/2019,06/30/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016
Current_Assets,150.9,146.4,142.7,143.3,147.8,157.4,147.2,141.4,139.7,150.6,155.5,86.0,80.3,,,82.0,,,,
Current_Liabilities,85.5,96.1,97.6,102.4,111.5,125.1,115.9,105.7,99.9,112.1,115.0,105.7,101.3,,,116.2,,,,
Diluted_EPS,0.614,0.099,0.231,0.268,0.353,0.45,0.16,0.191,-0.014,0.133,-0.209,-0.207,0.244,-0.013,0.61,-0.8640000000000001,-0.551,-0.2739999999999999,-0.4429999999999999,-0.374
Goodwill_Intangibles,14.9,14.3,14.5,14.9,15.1,15.2,15.1,15.0,15.2,15.0,14.7,14.6,15.2,,,16.0,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,70.4,72.1,68.6,76.3,76.4,76.6,74.2,73.7,76.8,76.8,72.6,65.8,71.7,0.0,0.0,9.9,0.0,0.0,0.0,0.0
Revenue,131.6,139.4,127.9,123.7,129.1,132.2,108.6,108.9,108.8,117.2,108.8,100.9,101.1,87.9,280.5,342.2,95.3,89.5,334.5,79.3
Shares_Diluted,19.0475,18.8597,18.6407,18.3362,18.6858,18.8151,18.8491,21.1133,18.0832,18.7192,16.3681,18.3882,18.3882,,,18.3882,,,,
Total_Assets,288.7,288.6,279.5,290.1,296.4,303.7,287.4,274.3,273.7,279.4,273.6,195.2,196.2,,,157.1,,,,
Total_Liabilities,167.4,180.1,176.1,189.8,199.5,211.5,204.0,193.6,197.6,204.0,201.1,179.1,176.1,,,129.1,,,,
