AAII_QTR_DATA,09/30/2022,03/31/2022,09/30/2021,03/31/2021,09/30/2020
Current_Assets,0.9,1.5,2.3,,
Current_Liabilities,18.5,13.3,6.3,,
Diluted_EPS,-0.071,0.0,0.015,0.073,0.023
Goodwill_Intangibles,1.9,2.1,0.7,,
Inventory,,0.0,0.2,,
LT_Debt,59.9,18.3,18.2,0.0,0.0
Revenue,1.9,5.2,3.2,7.7,2.0
Shares_Diluted,38.112,39.25,39.25,,
Total_Assets,94.0,36.2,28.5,,
Total_Liabilities,80.6,32.8,24.5,,
