AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,45.6,43.6,43.0,32.6,34.1,28.4,24.9,24.9,31.7,33.5,30.0
Current_Liabilities,78.5,78.8,75.1,69.8,74.2,75.0,74.1,74.9,72.5,41.1,38.0
Diluted_EPS,-0.088,-0.097,-0.054,-0.075,-0.058,-0.097,-0.069,-0.133,-0.165,0.172,0.046
Goodwill_Intangibles,334.9,339.2,308.3,310.8,313.4,317.1,323.6,326.0,313.0,29.0,28.1
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,209.4,209.8,184.0,184.3,184.6,179.0,176.4,176.6,166.9,0.0,0.0
Revenue,60.0,57.9,54.8,53.3,52.4,50.4,47.8,45.9,29.3,18.4,17.9
Shares_Diluted,54.5361,54.2955,54.9991,54.7889,53.496,53.2051,53.1481,53.0289,52.7136,53.7563,53.4748
Total_Assets,445.5,449.7,416.6,410.9,415.3,412.7,410.5,412.4,400.7,104.6,92.2
Total_Liabilities,297.6,299.7,267.5,263.6,269.0,264.9,261.5,263.4,249.6,43.7,41.5
