AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,15.2,3.2,2.8,3.1,2.5,,,
Current_Liabilities,1.7,0.5,0.4,0.9,0.4,,,
Diluted_EPS,-0.241,0.026,0.041,0.048,0.005,0.02,0.049,0.015
Goodwill_Intangibles,2.9,3.0,3.1,3.1,3.2,,,
Inventory,1.7,1.7,1.6,1.9,1.8,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.2,1.2,1.4,1.2,1.2,1.1,0.9,1.0
Shares_Diluted,7.8784,7.8784,7.8784,7.8784,7.8784,,,
Total_Assets,19.7,7.2,7.0,7.4,6.9,,,
Total_Liabilities,2.2,0.7,0.7,1.4,1.3,,,
