AAII_QTR_DATA,03/31/2023,12/30/2022,09/30/2022,07/01/2022,04/01/2022,12/31/2021,09/24/2021,06/25/2021,03/26/2021,12/25/2020,09/25/2020,06/26/2020,03/27/2020,12/27/2019,09/27/2019,06/28/2019,03/29/2019,12/28/2018,09/28/2018
Current_Assets,469.6,513.5,535.6,500.5,459.6,462.8,549.5,540.5,503.0,495.7,326.2,317.4,279.7,276.9,218.2,196.4,205.6,211.6,236.4
Current_Liabilities,118.2,166.3,205.1,198.9,194.1,208.3,181.0,197.7,183.1,162.0,148.3,155.4,151.4,163.9,115.0,85.9,90.5,87.8,100.0
Diluted_EPS,0.0,0.49,0.999,0.742,0.277,0.512,0.639,0.786,0.51,0.517,0.452,0.295,0.147,0.343,0.0409999999999999,0.015,0.067,0.152,0.391
Goodwill_Intangibles,414.9,407.4,411.4,415.8,420.5,425.8,204.6,208.0,211.3,214.7,215.0,218.4,221.7,225.0,228.4,231.7,226.8,229.9,233.7
Inventory,271.5,283.7,290.7,290.3,263.9,236.1,193.9,166.3,144.1,134.8,137.6,149.2,143.7,127.0,105.8,108.5,114.2,121.1,133.7
LT_Debt,291.5,293.2,295.0,296.7,283.5,285.3,158.8,157.6,159.6,191.5,193.5,195.4,172.4,169.3,169.3,183.0,185.0,192.1,182.1
Revenue,225.9,301.7,355.6,329.6,293.1,287.2,262.9,282.3,264.6,245.0,227.7,221.6,220.0,189.4,154.5,139.2,137.8,141.4,175.2
Shares_Diluted,28.9849,28.9546,29.0504,29.0425,29.0235,29.0335,29.0249,29.0925,28.7291,24.2416,23.3475,23.067,23.1811,23.178,22.7189,22.6631,22.5362,22.9907,24.6749
Total_Assets,1040.2,1083.7,1102.7,1065.7,1020.4,1020.9,828.5,822.4,782.2,774.2,605.4,598.9,564.0,566.6,506.9,490.0,495.4,485.5,512.4
Total_Liabilities,446.7,496.2,532.9,528.4,508.5,520.2,347.9,364.0,351.1,362.5,350.8,360.7,334.5,345.1,299.7,286.2,293.7,287.2,289.1
