AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,659.8,693.9,794.6,980.7,998.6,502.2,,,,,,,
Current_Liabilities,448.8,403.2,437.1,422.9,351.4,306.9,,,,,,,
Diluted_EPS,-0.236,-0.453,-0.432,-0.254,-0.018,-0.549,-0.103,-0.035,-0.218,-0.343,-0.338,-0.239,-0.16899999999999998
Goodwill_Intangibles,314.2,308.9,315.5,310.1,284.8,233.7,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,2020.1,1397.0,1612.1,1743.6,1951.4,1113.9,1230.3,1188.5,682.1,619.9,665.8,662.1,716.2
Shares_Diluted,427.9871,415.3849,404.4347,392.9796,394.5188,386.926,,,,,,,
Total_Assets,1715.4,1726.5,1800.6,1947.2,1911.6,1367.2,,,,,,,
Total_Liabilities,963.2,924.5,956.8,922.0,836.1,775.4,,,,,,,
