AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,09/30/2013,06/30/2013,03/31/2013,12/31/2011,03/31/2011,09/30/2005,06/30/2005
Current_Assets,3.5,0.3,0.4,,,,,,,
Current_Liabilities,143.1,56.2,4.8,,,,,,,
Diluted_EPS,,,,-0.011,,0.0,-0.05,-0.05,-0.218,-0.28
Goodwill_Intangibles,6.8,6.8,2.7,,,,,,,
Inventory,,,0.2,,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,,,12.9,33.2,2.5,0.0,0.0,0.0,0.0
Shares_Diluted,,,,1604.4,,284.2063,7.7198,3.7558,0.0322,0.0322
Total_Assets,90.2,90.6,3.7,,,,,,,
Total_Liabilities,143.1,56.2,5.3,,,,,,,
