AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,736.0,629.0,597.9,517.5,488.1,515.1,558.4,503.3,481.6,616.5,577.1,568.6,566.7,572.5,520.7,465.3
Current_Liabilities,412.6,369.9,379.9,251.1,221.6,240.2,321.2,272.5,271.6,446.4,414.8,412.9,383.1,379.6,333.4,286.0
Diluted_EPS,3.165,2.375,1.586,1.448,2.588,1.694,1.038,1.132,1.584,0.231,0.414,0.305,0.836,0.226,0.21,0.496
Goodwill_Intangibles,248.2,246.3,247.1,201.1,186.7,142.2,143.1,84.3,65.4,65.1,64.5,64.1,,,,
Inventory,374.2,329.7,325.4,231.0,209.4,303.0,378.9,298.0,314.1,506.9,493.9,477.5,434.7,454.6,445.5,377.1
LT_Debt,45.8,45.7,46.6,47.5,48.4,49.4,50.1,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,688.5,610.1,472.7,462.3,666.3,523.1,411.5,398.8,498.3,308.5,304.2,308.1,383.5,303.6,241.9,308.6
Shares_Diluted,22.1733,22.5301,22.6637,22.6704,23.0377,22.9861,22.7451,22.6053,22.0459,21.9603,21.8901,21.8856,22.8212,23.4177,23.4007,23.2889
Total_Assets,1320.1,1205.7,1175.1,1007.8,956.1,925.1,964.9,775.3,736.0,873.1,835.4,784.1,755.4,749.0,695.7,640.5
Total_Liabilities,577.3,531.5,541.8,412.9,383.3,401.8,482.3,319.9,310.9,486.0,454.7,415.3,385.6,380.5,334.3,287.4
