AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,21.0,7.3,2.2,5.1,3.7,1.0,3.5,2.9,4.1,6.4
Current_Liabilities,7.3,1.0,6.4,5.3,2.9,4.9,11.9,8.5,3.2,11.6
Diluted_EPS,-0.394,-0.064,0.067,-0.583,-0.678,-0.911,-1.064,-1.998,-3.339,-0.634
Goodwill_Intangibles,0.8,0.3,1.3,0.3,0.0,3.6,9.0,9.5,13.1,18.7
Inventory,4.1,4.4,0.0,0.1,0.1,0.3,0.5,1.2,0.9,1.1
LT_Debt,0.0,0.8,0.9,1.1,1.5,1.8,0.3,1.3,2.3,0.0
Revenue,0.5,0.3,0.1,0.0,0.9,0.3,0.7,0.3,0.1,0.8
Shares_Diluted,18.8966,13.871,9.0157,7.5691,5.2453,3.3774,3.3774,3.3774,2.7415,2.6436
Total_Assets,38.0,31.9,16.6,14.8,8.6,4.8,13.2,14.5,17.7,25.3
Total_Liabilities,10.7,3.4,8.8,9.9,7.5,8.1,14.3,12.0,8.3,14.5
