AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,272.6,288.9,298.3,308.0,326.2,339.5,176.5,,,
Current_Liabilities,35.3,27.4,18.6,14.8,16.2,14.2,13.8,,,
Diluted_EPS,-0.629,-0.507,-0.433,-0.392,-0.414,-0.324,-0.648,-1.254,-0.284,-0.609
Goodwill_Intangibles,1.5,1.5,1.6,1.7,1.8,1.8,1.9,,,
Inventory,28.5,22.4,13.8,13.2,14.0,10.7,10.7,,,
LT_Debt,51.2,50.7,50.5,50.3,50.0,49.8,49.5,0.0,0.0,0.0
Revenue,23.8,20.3,16.7,14.2,10.1,8.7,15.7,7.7,2.1,2.4
Shares_Diluted,44.772,44.64,44.324,43.855,44.288,43.472,42.2695,,,
Total_Assets,309.3,324.0,310.9,320.9,337.0,351.5,190.6,,,
Total_Liabilities,112.3,103.3,71.7,68.2,69.9,68.2,68.3,,,
