AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1307.3,1411.8,1419.8,1553.6,1389.7,1520.1,1570.3,1563.5,1559.7,1551.5,1543.7,1480.9,1773.7,1210.2,1205.8,1185.8,1268.0,1286.6,1431.3
Current_Liabilities,703.7,752.8,818.0,993.1,602.0,677.2,667.3,672.9,636.8,676.9,667.9,655.0,965.1,550.4,534.9,546.2,599.5,553.9,749.3
Diluted_EPS,-0.046,-0.029,-0.018,-0.8,-0.014,-0.043,-0.028,0.096,0.044,-0.021,-0.061,-0.081,0.778,-0.226,-2.027,-0.132,-0.375,-0.069,0.054
Goodwill_Intangibles,1654.5,1694.9,1758.5,1805.2,1812.7,1759.9,1799.1,1842.4,1785.7,1827.4,1871.8,1951.3,1989.9,1802.3,1855.5,1973.3,2012.8,2081.2,2143.6
Inventory,529.0,530.7,543.9,533.0,512.2,489.4,520.2,523.4,497.0,490.6,475.8,444.0,438.0,381.1,401.8,414.6,448.3,457.2,490.8
LT_Debt,2662.1,2692.5,2707.8,2721.3,2771.4,2778.3,2786.3,2819.0,2826.9,2834.2,2856.5,2864.2,2872.0,2674.5,2678.1,2681.8,2687.4,2669.7,2675.1
Revenue,557.5,609.8,545.6,559.4,497.6,536.9,528.6,535.1,493.1,510.0,519.3,464.7,498.5,397.3,378.3,404.6,446.1,497.5,476.5
Shares_Diluted,152.109,151.481,151.393,150.993,149.892,149.375,149.29,151.986,151.22,147.641,147.558,147.392,147.95600000000005,141.958,130.72899999999998,128.016,127.687,127.42,128.222
Total_Assets,3626.6,3799.3,3874.0,4041.4,3889.0,3939.7,3974.4,4023.1,3960.1,4006.0,4037.5,4056.8,4390.8,3665.9,3703.9,4262.1,4384.6,4352.7,4582.0
Total_Liabilities,3332.2,3500.9,3576.6,3761.1,3497.8,3579.3,3623.9,3676.9,3637.1,3702.8,3736.5,3750.8,4072.4,3433.9,3485.9,3802.5,3912.4,3848.0,4080.9
