AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,36.3,37.2,40.2,44.9,43.9,51.9,56.8,60.3
Current_Liabilities,10.4,10.0,8.5,6.9,6.6,6.8,6.5,5.4
Diluted_EPS,-0.675,-1.52,-0.866,-0.866,-1.815,-0.731,-0.938,-0.951
Goodwill_Intangibles,,0.0,13.4,13.4,13.4,13.4,15.3,15.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.9,4.6,5.3,5.9,5.9,5.9,5.8,5.8
Revenue,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Shares_Diluted,8.2815,8.7061,7.0987,6.982,5.7705,5.7743,5.7708,5.7285
Total_Assets,42.1,44.0,60.5,65.3,64.3,74.0,79.5,83.0
Total_Liabilities,15.5,14.6,19.2,18.3,18.1,18.3,20.1,19.0
