AAII_QTR_DATA,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018
Current_Assets,8554.0,8057.0,10133.0,8909.0,10198.0,12459.0,10563.0,9268.0,8222.0,2885.0,2059.0,2712.0,2835.0,2101.0,2225.0,1755.0,2278.0
Current_Liabilities,13380.0,10920.0,10408.0,9491.0,8754.0,8619.0,8686.0,10184.0,11858.0,10716.0,9127.0,8932.0,10377.0,9642.0,9204.0,8020.0,9308.0
Diluted_EPS,-1.609,-1.663,-2.314,-2.503,-1.83,-1.802,-2.418,-3.688,-6.067,-1.142,0.614,2.576,0.6509999999999999,0.483,0.7040000000000001,2.414,0.785
Goodwill_Intangibles,1746.0,1760.0,1760.0,2000.0,2016.0,2009.0,1993.0,1993.0,1958.0,3349.0,4086.0,4052.0,4079.0,4124.0,4101.0,,
Inventory,425.0,392.0,356.0,322.0,308.0,312.0,335.0,349.0,362.0,440.0,427.0,482.0,501.0,444.0,450.0,405.0,402.0
LT_Debt,29263.0,29887.0,28509.0,26831.0,25968.0,26522.0,22130.0,18916.0,14870.0,9738.0,9675.0,8893.0,9080.0,9134.0,7897.0,8297.0,8172.0
Revenue,2401.0,1623.0,1287.0,546.0,50.0,26.0,33.0,31.0,740.0,4789.0,4782.0,6533.0,4838.0,4673.0,4456.0,5836.0,4357.0
Shares_Diluted,1140.0,1137.0,1132.0,1133.0,1132.0,1095.0,919.0,775.0,721.0,684.0,689.0,691.0,693.0,695.0,700.0,707.0,715.0
Total_Assets,52988.0,53281.0,53344.0,53514.0,55064.0,57226.0,53593.0,50818.0,49817.0,46943.0,45058.0,44001.0,44512.0,43930.0,42401.0,41753.0,42184.0
Total_Liabilities,44728.0,42970.0,41199.0,38651.0,37188.0,37413.0,33038.0,31315.0,28977.0,22653.0,19693.0,18706.0,20404.0,19689.0,17958.0,17099.0,18251.0
