AAII_QTR_DATA,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,8.8,12.0,10.8,16.4,8.6,1.8,2.7,2.7,0.6,0.5,0.7,2.1,0.5,0.1,0.3,0.4,2.2
Current_Liabilities,30.4,33.7,33.5,37.9,20.4,11.3,15.5,11.9,10.0,10.8,11.0,11.6,9.8,9.2,11.6,15.4,17.7
Diluted_EPS,-0.002,-0.016,-0.008,-0.353,-0.029,-0.218,0.015,-2.058,-0.751,-2.807,-2.842,-1.759,-3.262,-4.735,-5.556,-7.678,-8.439
Goodwill_Intangibles,3.8,3.9,4.0,4.2,4.3,4.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.8,2.6,3.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,12.7,15.1,13.9,13.0,11.8,11.5,11.0,10.0,7.0,2.2,0.0
Revenue,3.5,3.5,5.0,12.7,1.9,2.0,0.0,5.5,1.4,2.3,2.3,2.8,1.0,1.3,0.3,1.5,0.7
Shares_Diluted,500.1739,441.0128,374.8722,139.0611,159.4482,118.0684,83.0399,0.4101,0.41,0.41,0.4085,0.4024,0.3704,0.3411,0.3391,0.3259,0.2853
Total_Assets,14.6,18.0,20.7,25.3,26.5,20.8,3.3,3.5,1.4,1.5,1.7,3.1,1.5,1.2,2.2,3.0,5.6
Total_Liabilities,30.7,34.1,33.9,38.4,20.4,11.3,28.2,27.0,24.1,23.8,22.9,23.1,20.8,19.4,18.7,17.7,18.0
