AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,689.5,713.2,772.4,842.9,871.1,840.1,863.5,108.4,118.5,17.6,,,,
Current_Liabilities,25.1,28.6,56.9,262.1,273.7,254.3,315.8,10.8,7.1,1.9,,,,
Diluted_EPS,-0.376,-0.506,1.337,-0.34,0.017,0.345,0.251,-0.218,-0.124,-0.049,-0.058,-0.045,-0.044,-0.027000000000000003
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,192.2,32.8,60.4,66.0,48.6,,,,,,,
Shares_Diluted,83.2576,83.1764,87.6107,82.8156,88.0914,89.0991,82.4369,80.7419,80.7419,80.7419,,,,
Total_Assets,694.3,717.2,772.9,843.5,871.5,840.6,863.6,110.1,119.7,17.8,,,,
Total_Liabilities,33.9,37.3,62.8,262.1,273.7,254.4,315.8,10.9,7.1,2.0,,,,
