AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,19.8,12.9,10.2,8.0,7.0,7.6,,,
Current_Liabilities,24.7,12.3,5.4,5.3,5.7,6.2,,,
Diluted_EPS,-2.279,0.561,-1.856,-0.535,-1.195,-0.661,-0.715,-0.581,-0.009000000000000001
Goodwill_Intangibles,25.0,23.2,11.6,11.6,11.1,11.1,,,
Inventory,7.3,6.5,4.4,7.3,3.2,3.0,,,
LT_Debt,4.4,8.0,0.7,0.8,1.6,1.7,0.0,0.0,0.0
Revenue,9.7,8.9,4.9,5.0,5.3,5.9,4.9,3.0,2.6
Shares_Diluted,2.2641,2.063,1.8886,1.8514,1.85,1.85,,,
Total_Assets,76.3,65.6,47.8,42.0,39.4,39.2,,,
Total_Liabilities,36.8,27.1,11.8,9.1,10.3,11.0,,,
