AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,326.6,284.4,309.1,366.4,354.1,355.1,367.9,336.4,,,,,,
Current_Liabilities,112.7,109.2,123.5,117.9,99.9,90.6,99.5,79.6,,,,,,
Diluted_EPS,-0.23,-0.213,-0.201,-0.221,-0.203,-0.194,-0.336,-0.098,-0.063,-0.052,-0.025,-0.114,-0.048,-0.062
Goodwill_Intangibles,5.6,6.1,6.7,6.6,7.1,7.6,8.1,8.2,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,66.5,65.3,61.6,58.1,53.1,49.4,45.5,39.3,33.1,30.1,26.4,23.7,22.3,20.1
Shares_Diluted,114.369,113.12,112.016,111.036,109.553,112.8178,108.8954,102.4447,,,,,,
Total_Assets,412.5,413.8,428.3,426.7,414.2,400.4,409.9,376.5,,,,,,
Total_Liabilities,121.3,118.8,133.2,128.6,111.3,93.8,101.7,81.1,,,,,,
