AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,8464.3,7985.7,9130.2,8025.6,7121.0,7299.8,7364.7,7596.7,6889.5,6646.6,7237.6,7174.4
Current_Liabilities,4790.6,5862.7,5111.9,3744.4,2554.3,2803.7,2535.1,2808.6,2344.7,2267.2,2205.5,2148.4
Diluted_EPS,0.911,0.09,-0.032,-1.577,-0.003,0.066,0.09,0.127,0.151,0.075,0.1369999999999999,0.172
Goodwill_Intangibles,1.3,1.4,1.5,,,,,,,,0.0,0.0
Inventory,4434.8,4342.5,4543.1,4009.5,4170.9,3839.3,4034.4,4103.5,4052.2,4176.2,4438.3,4330.6
LT_Debt,4812.8,4600.7,5829.6,6676.0,6562.3,5836.3,5065.9,4959.1,3960.9,3702.6,3388.2,3286.1
Revenue,1093.1,1064.2,884.9,768.6,796.4,702.9,657.1,631.2,536.1,575.8,768.2,1011.1
Shares_Diluted,906.9013,906.9013,906.9013,906.9013,906.9013,979.1667,951.9002,951.9002,951.9002,951.9807,953.7437,954.3002
Total_Assets,17099.0,17725.8,18222.3,17574.8,17707.7,17221.1,17055.4,17215.1,15477.4,15256.2,15420.8,15076.2
Total_Liabilities,10245.0,11490.1,12014.8,11263.8,9860.5,9412.1,9421.3,9617.6,8103.0,7921.8,7740.4,7548.8
