AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,150.4,167.8,164.8,160.6,152.3,153.7,147.8,142.9,149.5,142.8,145.4
Current_Liabilities,138.3,143.1,143.6,142.8,141.9,135.2,288.4,288.2,301.6,310.2,139.8
Diluted_EPS,-40.726,-0.166,-2.528,-5.623,-10.675,37.216,18.146,10.009,20.25,-66.726,6.606
Goodwill_Intangibles,76.4,76.9,77.0,77.2,77.4,77.3,77.7,75.7,75.3,78.8,67.4
Inventory,3.5,4.4,3.8,3.1,3.5,2.6,2.7,2.9,3.0,4.0,4.7
LT_Debt,65.8,67.3,68.5,69.9,71.5,74.2,75.2,76.1,77.9,80.6,263.2
Revenue,92.4,85.4,98.9,82.1,90.8,94.3,99.6,101.8,96.5,135.7,158.4
Shares_Diluted,1.8116,1.7946,1.9082,1.8974,1.9426,1.9268,2.002,2.1082,2.0971,2.0664,2.0594
Total_Assets,773.4,885.9,894.8,919.4,933.9,959.9,1018.0,983.6,988.8,947.6,1139.3
Total_Liabilities,267.6,298.6,307.1,320.8,320.4,320.7,453.1,445.4,466.3,468.4,523.0
