AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021,12/31/2020
Current_Assets,40.5,24.8,27.4,30.7,19.3,21.6,2.3,
Current_Liabilities,20.4,4.6,2.7,1.8,1.2,1.5,0.9,
Diluted_EPS,-0.344,-0.326,0.422,-0.372,-0.186,-0.327,-0.41,-0.258
Goodwill_Intangibles,66.3,0.6,,,,,,
Inventory,29.7,2.0,1.3,1.0,0.7,0.6,0.2,
LT_Debt,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,8.3,0.1,0.1,0.1,0.0,0.6,0.0,0.0
Shares_Diluted,28.8896,15.5396,15.7674,13.8941,13.8776,9.9879,11.3636,
Total_Assets,128.5,29.2,29.6,33.0,21.5,23.7,4.7,
Total_Liabilities,64.7,9.5,5.9,16.7,1.7,2.0,0.9,
