AAII_QTR_DATA,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,58.9,51.9,46.8,49.4,52.0,97.4,0.1,0.1,0.4,0.5,0.2,0.2
Current_Liabilities,29.4,32.9,40.9,48.8,51.0,50.1,3.9,1.3,0.6,0.6,0.1,0.0
Diluted_EPS,,-1.947,-0.127,-0.097,-1.391,1.668,-0.612,0.004,0.031,0.03,0.02,0.013000000000000001
Goodwill_Intangibles,1.1,15.4,,,0.0,75.1,,,,,,
Inventory,0.4,0.7,0.0,17.5,21.0,43.7,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,251.8,2.0,33.2,33.3,334.7,100.0,104.6,,,,,
Shares_Diluted,,74.0355,41.7158,59.6495,33.1466,46.0469,31.9017,26.3231,26.3231,26.3231,26.3231,26.3231
Total_Assets,74.2,71.8,48.5,51.2,54.4,176.4,213.9,210.6,209.8,208.9,207.6,207.0
Total_Liabilities,44.5,40.5,48.5,56.1,59.0,81.6,3.9,1.3,0.6,0.6,0.1,0.0
