AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,188.4,186.9,200.7,215.9,221.4,223.3,218.2,216.8,118.2
Current_Liabilities,11.8,10.8,14.0,13.8,16.7,16.7,17.3,18.0,53.0
Diluted_EPS,-0.006,-0.374,-0.231,-0.061,0.027,0.022,-0.056,5.04,-0.134
Goodwill_Intangibles,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,3.4
Inventory,13.1,12.8,10.9,11.1,9.8,10.0,9.9,7.8,6.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Revenue,19.4,5.8,13.9,18.1,21.2,19.6,14.8,15.4,16.1
Shares_Diluted,25.8981,25.888,26.1405,26.3823,26.9365,26.8892,26.5159,27.9905,26.0335
Total_Assets,210.5,206.6,219.1,235.3,239.0,242.0,241.3,232.1,129.2
Total_Liabilities,19.2,17.7,21.1,21.6,24.0,24.2,25.1,18.1,57.2
