AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,8.8,4.8,5.6,4.6,4.8,5.5,6.4,1.7
Current_Liabilities,40.9,45.5,44.0,40.8,35.0,23.7,21.6,15.4
Diluted_EPS,-7.656,-9.257,-26.614,-59.183,-241.556,-70.782,-96.857,-28.819
Goodwill_Intangibles,24.5,29.5,30.0,30.6,31.1,34.6,27.3,13.9
Inventory,5.2,2.7,2.9,2.5,2.8,2.3,1.2,0.6
LT_Debt,0.3,0.3,6.3,6.0,6.2,13.0,7.5,9.6
Revenue,3.4,3.4,3.7,3.4,4.0,2.2,1.0,0.4
Shares_Diluted,2.0615,0.5288,0.3582,0.1324,0.0402,0.1263,0.1104,0.1049
Total_Assets,33.7,35.0,36.4,36.0,36.5,40.7,34.0,16.2
Total_Liabilities,41.2,47.5,51.3,49.6,43.6,39.2,29.1,25.0
