AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,93.4,215.1,315.5,316.4,335.8,344.4,58.2,47.3,,,
Current_Liabilities,96.3,68.2,32.7,27.6,31.5,32.9,45.8,47.6,,,
Diluted_EPS,0.035,0.415,-0.628,0.549,0.39,0.145,-0.044,-0.064,-0.05,-0.017,-0.004
Goodwill_Intangibles,47.8,47.6,19.6,19.4,17.0,17.3,18.4,11.4,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,835.7,634.6,527.7,522.6,521.9,524.8,503.6,364.8,0.0,0.0,0.0
Revenue,29.4,26.8,30.4,44.0,19.2,21.6,20.1,30.1,11.3,13.1,20.9
Shares_Diluted,161.0034,162.3885,154.4552,153.9689,153.8634,153.6488,153.6488,153.6488,,,
Total_Assets,1657.4,1376.9,1130.3,1106.1,1104.3,1113.2,809.9,586.1,,,
Total_Liabilities,1224.2,952.8,788.2,706.0,738.4,808.3,620.8,469.6,,,
