AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1292.0,1283.0,1200.0,1538.0,1179.0,1216.0,1259.0,1305.0,1240.0,1226.0
Current_Liabilities,711.0,726.0,640.0,936.0,982.0,936.0,1011.0,1138.0,1152.0,1084.0
Diluted_EPS,0.437,0.014,-0.499,3.201,0.483,0.504,1.005,0.841,1.029,0.35100000000000003
Goodwill_Intangibles,507.0,501.0,503.0,500.0,486.0,548.0,454.0,458.0,459.0,465.0
Inventory,473.0,435.0,495.0,529.0,556.0,526.0,491.0,530.0,522.0,477.0
LT_Debt,1189.0,1188.0,1193.0,1203.0,901.0,902.0,734.0,738.0,731.0,730.0
Revenue,889.0,758.0,514.0,871.0,901.0,1028.0,1166.0,1156.0,1038.0,1080.0
Shares_Diluted,73.2,73.5,72.1,75.3,80.7,85.4,85.6,85.6,87.5,91.2
Total_Assets,2930.0,2884.0,2872.0,3225.0,2896.0,2815.0,2728.0,2800.0,2733.0,2726.0
Total_Liabilities,2400.0,2422.0,2501.0,2833.0,2544.0,2430.0,2253.0,2388.0,2404.0,2439.0
