AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018
Current_Assets,411.5,476.3,464.3,428.7,384.0,371.7,355.4,410.0,404.1,404.4,388.0,325.2,312.2,309.0,318.2,306.0,292.5,326.5
Current_Liabilities,168.1,211.2,236.9,216.2,193.0,195.1,198.8,220.4,210.9,195.1,178.1,155.6,169.2,169.4,180.4,149.6,142.5,166.3
Diluted_EPS,0.882,1.728,1.208,0.877,-2.973,0.122,0.178,0.209,1.082,1.356,0.944,0.767,0.754,1.307,1.59,1.3019999999999998,1.069,1.051
Goodwill_Intangibles,809.5,820.9,832.3,843.7,855.1,866.6,878.0,889.4,900.8,912.8,925.0,937.3,949.5,961.8,974.0,986.3,998.5,1010.8
Inventory,224.8,253.0,247.0,228.3,204.2,191.0,181.8,140.4,144.6,127.7,126.7,111.8,121.9,119.8,115.3,108.5,116.1,116.0
LT_Debt,440.7,486.2,486.4,506.7,506.5,501.4,491.4,513.5,516.6,555.9,595.2,594.9,600.6,617.9,647.7,689.2,709.8,717.9
Revenue,480.7,561.5,542.9,501.7,459.7,453.2,442.6,473.4,432.0,448.6,390.1,399.2,395.8,428.0,427.4,407.4,384.1,424.9
Shares_Diluted,16.6957,16.6575,16.6199,16.5699,16.5699,16.6059,16.7162,17.0382,17.0472,17.0473,17.0134,16.967,16.975,16.956,16.9075,16.9192,17.2163,17.5884
Total_Assets,1564.4,1651.0,1646.2,1632.5,1591.7,1595.7,1589.6,1654.4,1656.9,1672.9,1667.4,1622.8,1593.8,1598.7,1623.4,1529.9,1532.8,1577.1
Total_Liabilities,721.2,821.8,853.7,859.6,840.7,852.6,852.5,898.2,893.5,927.7,945.9,922.3,904.5,923.8,972.2,909.6,924.9,960.8
