AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,42.2,42.5,43.2,40.2,40.9,40.9,43.2,43.9,43.6,44.4,42.5,41.8,38.2,37.7,39.9,37.9,38.0,51.2
Current_Liabilities,23.6,24.2,24.3,22.8,23.4,23.9,26.4,26.9,27.3,35.4,33.6,19.5,20.1,33.0,35.2,32.2,29.0,38.4
Diluted_EPS,-0.278,-0.044,-0.002,-0.009,0.5,-0.021,0.063,-0.048,0.038,-0.016,-0.052,0.029,-0.043,0.006,-0.026,-0.032,-0.2289999999999999,-0.1169999999999999
Goodwill_Intangibles,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Inventory,31.8,33.4,33.0,32.0,29.5,29.4,30.2,32.2,32.1,32.8,33.9,29.8,57.3,30.4,30.2,28.7,29.1,30.9
LT_Debt,10.8,10.2,10.6,9.0,9.3,10.0,10.2,11.0,10.8,7.1,4.5,16.7,15.9,2.1,2.5,2.7,5.7,6.0
Revenue,13.9,13.3,14.0,12.1,15.4,14.4,15.5,13.7,14.5,13.7,8.5,13.4,13.3,14.0,13.4,13.9,10.9,10.7
Shares_Diluted,3.2337,3.2325,3.2214,3.2183,3.2129,3.2074,3.7992,3.1972,55.4137,30.621,30.5521,36.5215,29.0851,29.0405,28.771,28.6014,28.7034,26.7689
Total_Assets,53.8,54.8,55.6,52.4,53.4,53.5,56.3,57.4,57.8,58.8,54.7,54.1,51.1,50.8,53.3,51.3,47.8,63.0
Total_Liabilities,37.0,37.1,37.9,35.0,36.0,37.9,40.7,42.2,42.7,47.4,43.0,40.9,40.9,40.2,43.0,40.5,36.2,45.8
