AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,6.6,6.7,6.7,3.4,1.5,1.3,1.4,2.1,4.1,1.5,2.3,1.4,1.7,2.0,1.6,1.5
Current_Liabilities,0.9,1.0,1.0,2.2,13.9,20.3,18.0,15.1,78.8,29.2,15.8,10.3,13.4,31.0,14.5,21.2
Diluted_EPS,0.0,-0.001,-0.001,0.002,0.001,-0.002,-0.005,0.014,-0.259,-1.793,-0.721,-1.097,-0.7040000000000001,-3.7569999999999997,3.355,-2.031
Goodwill_Intangibles,1.7,2.0,2.2,2.3,2.5,2.6,,,,,0.0,2.2,2.4,4.4,9.3,3.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.0,1.0,0.8,0.4,0.4,1.0
Revenue,1.4,1.3,1.2,1.2,1.6,1.5,2.3,6.3,8.6,8.6,9.7,7.8,8.1,5.8,8.2,4.8
Shares_Diluted,3316.885,3040.797,2884.941,2899.704,2539.875,1747.413,1589.995,2506.146,261.4173,12.3531,9.5612,11.2471,9.8915,5.2298,2.5161,4.1701
Total_Assets,8.6,9.3,9.5,6.4,5.5,6.9,3.5,4.5,6.6,4.1,4.3,5.8,5.5,7.8,7.2,6.0
Total_Liabilities,0.9,1.0,1.0,2.4,15.2,21.8,19.5,16.8,80.6,31.0,17.2,12.9,14.7,31.9,14.9,22.2
