AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,7.8,8.4,13.4,3.2,15.8,4.8,3.2,0.2,0.2,0.4
Current_Liabilities,4.1,3.7,3.3,2.8,2.7,0.9,0.2,0.1,0.1,0.1
Diluted_EPS,,-0.064,-0.007,-0.034,-0.014,-0.013,-0.003,-0.001,-0.002,-0.002
Goodwill_Intangibles,4.2,,,7.5,7.5,8.7,,,,0.1
Inventory,0.1,0.0,,1.1,1.4,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.8,0.0,1.9,0.0,0.0,0.0,,0.0
Shares_Diluted,94.6176,93.0608,105.2439,105.6009,105.3495,100.3638,76.9496,76.813,73.6634,76.4
Total_Assets,7.8,8.4,13.4,14.3,15.8,16.9,3.6,0.6,0.7,0.9
Total_Liabilities,4.2,3.8,3.3,3.5,2.7,3.0,0.2,0.1,0.1,0.1
