AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,52.0,49.7,57.5,56.1,75.8,41.9,54.1,58.9,58.0
Current_Liabilities,13.2,11.0,17.7,12.9,5.3,8.1,7.8,14.9,13.0
Diluted_EPS,-0.055,-0.076,-0.05,-0.068,0.032,-0.227,-0.479,-0.09,-0.255
Goodwill_Intangibles,44.5,44.7,44.9,45.6,4.3,4.4,5.0,5.7,6.3
Inventory,8.4,9.5,8.9,9.4,7.9,8.6,11.6,11.6,11.8
LT_Debt,97.9,96.7,95.5,94.3,89.8,88.9,108.1,108.4,109.3
Revenue,23.2,21.2,22.3,18.2,18.0,16.8,9.9,19.3,15.5
Shares_Diluted,56.5987,56.3512,46.6815,51.4164,39.0187,29.7379,24.3621,23.642,23.5773
Total_Assets,153.4,151.8,160.3,157.8,122.4,89.6,103.4,108.6,107.2
Total_Liabilities,116.0,112.6,118.3,113.3,96.0,98.3,117.5,123.7,122.6
