AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,310.3,298.1,380.1,294.1,276.6,,,,0.0
Current_Liabilities,194.4,216.1,226.4,231.3,202.8,,,,0.1
Diluted_EPS,,-0.445,-0.277,-0.176,-0.124,-0.125,-0.108,-0.131,0.0
Goodwill_Intangibles,245.1,244.9,218.0,219.6,221.3,,,,0.0
Inventory,142.6,145.8,162.2,155.3,137.6,,,,0.0
LT_Debt,215.3,162.5,164.7,310.3,311.7,0.0,0.0,0.0,0.0
Revenue,205.4,227.7,230.3,223.4,186.4,190.4,181.3,171.1,0.0
Shares_Diluted,,74.038,73.034,73.034,93.3258,,,,32.1875
Total_Assets,773.3,746.2,750.1,661.4,645.4,,,,0.2
Total_Liabilities,487.9,462.0,453.7,576.2,552.3,,,,0.1
