AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,9.9,11.6,13.1,14.4,15.9,17.5,19.9,20.8,23.2,18.5,22.0,14.0,6.4,1.3,1.3,2.8,4.6,4.1,6.3,7.3
Current_Liabilities,0.3,0.5,0.5,0.4,0.4,0.3,0.9,0.4,0.9,0.3,1.9,2.2,2.2,3.9,2.7,2.8,1.1,1.2,1.4,0.9
Diluted_EPS,-0.146,-0.15,-0.135,-0.154,-0.155,-0.167,-0.227,-0.18,-0.192,-0.218,-0.22,-0.227,-1.24,-0.5,-0.406,-0.5770000000000001,-0.595,-0.643,-0.532,-0.479
Goodwill_Intangibles,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,11.636,11.6103,11.5924,11.5576,11.5409,11.5253,11.5153,11.5026,10.9531,10.6661,10.4876,8.2694,6.5181,3.8539,3.845,3.8359,3.5978,3.4692,3.4593,3.4492
Total_Assets,18.6,20.3,22.1,23.5,25.1,26.8,29.2,30.3,32.8,28.1,31.8,23.9,16.5,11.6,11.8,13.4,15.4,15.0,17.4,18.5
Total_Liabilities,0.3,0.5,0.5,0.4,0.4,0.3,0.9,0.4,0.9,0.3,1.9,2.2,2.2,3.9,2.7,2.8,2.7,1.2,1.4,0.9
