AAII_QTR_DATA,12/31/2022
Current_Assets,13196.8
Current_Liabilities,12218.9
Diluted_EPS,1.541
Goodwill_Intangibles,15691.2
Inventory,1211.2
LT_Debt,8145.9
Revenue,14295.1
Shares_Diluted,785.75
Total_Assets,39044.3
Total_Liabilities,25126.5
