AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,142.4,149.7,161.1,168.6,179.5,72.2,75.7,,,,
Current_Liabilities,68.5,41.6,44.0,38.4,34.0,29.1,28.7,,,,
Diluted_EPS,-0.502,-0.127,-0.126,-0.121,-0.061,-0.074,-0.031,-0.013,0.049,0.046,-0.06
Goodwill_Intangibles,47.9,47.8,47.3,48.0,22.8,22.8,23.5,,,,
Inventory,60.9,54.8,51.7,43.2,40.2,37.7,35.5,,,,
LT_Debt,42.2,42.5,42.5,42.5,7.5,23.4,22.1,0.0,0.0,0.0,0.0
Revenue,51.5,46.0,42.5,41.4,42.8,35.9,35.7,33.1,35.1,30.3,45.7
Shares_Diluted,77.279,76.8509,76.4817,76.4475,76.4473,77.2884,75.203,,,,
Total_Assets,254.1,257.0,265.0,268.7,234.5,121.5,123.9,,,,
Total_Liabilities,113.2,85.6,88.1,84.2,42.4,54.5,52.7,,,,
