AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,412.3,504.5,443.1,329.0,202.3,187.0,127.2,162.2,153.7,121.1,118.7,118.6,117.0
Current_Liabilities,34.5,34.5,33.2,33.9,24.6,21.4,21.8,21.7,20.7,18.2,15.9,12.4,10.6
Diluted_EPS,-0.888,0.293,3.093,0.654,0.127,0.138,-1.052,0.174,0.027999999999999997,-0.094,-0.184,-0.159,-0.08800000000000001
Goodwill_Intangibles,172.0,174.2,171.8,168.8,148.8,149.5,150.7,138.5,138.9,130.2,132.4,135.7,138.9
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,21.0,21.3,21.6,21.8,22.1,17.1,17.3,17.6,17.8,0.0,0.0,0.0,0.0
Revenue,14.5,14.2,13.2,11.2,11.6,11.5,11.4,11.3,10.8,10.1,9.1,8.8,5.4
Shares_Diluted,29.5761,29.4928,27.2999,27.2662,27.2311,24.6724,23.5107,23.423,22.7987,22.4525,22.1862,22.0965,22.0298
Total_Assets,781.4,817.2,750.1,640.7,479.9,468.9,412.1,436.9,426.1,390.2,380.1,332.2,333.7
Total_Liabilities,277.8,287.2,284.8,259.1,96.1,88.5,91.3,91.7,87.9,67.3,65.4,17.0,15.3
