AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,11.1,14.7,17.5,18.9,22.4,27.2,10.3,9.6,8.0,2.1,2.4,2.6,3.1,0.8
Current_Liabilities,0.8,2.1,2.7,1.4,1.2,0.9,16.3,5.4,4.8,1.0,1.0,0.9,1.2,1.3
Diluted_EPS,-0.142,-0.275,-0.162,-0.164,-0.281,0.993,-1.2,-0.031,-0.264,-0.065,-0.061,-0.054,-0.006,-0.035
Goodwill_Intangibles,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,17.365,14.3078,12.9897,12.9897,12.9897,12.3667,9.4011,9.3763,8.2338,6.9167,6.9148,6.9148,5.9064,5.3595
Total_Assets,13.0,16.7,20.2,21.7,24.9,29.8,10.6,9.9,8.2,2.3,2.7,2.9,3.4,1.1
Total_Liabilities,0.8,7.3,5.7,5.1,6.8,7.2,16.3,5.4,4.8,1.0,1.0,0.9,1.2,1.3
