AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1144.9,1013.0,907.7,1015.5,1015.3,1264.3,968.6,1013.5,969.4,982.9,966.5,1025.2
Current_Liabilities,382.7,356.3,317.5,360.0,403.0,455.5,347.3,344.8,354.3,397.0,336.9,460.0
Diluted_EPS,0.589,0.404,0.302,0.371,0.292,0.227,0.369,0.41,0.32899999999999996,0.23,0.159,-0.415
Goodwill_Intangibles,1884.2,1887.4,1894.7,1825.3,1829.2,1836.1,1803.9,1809.7,1822.2,1811.2,1777.8,1784.0
Inventory,360.9,348.4,330.1,355.7,348.8,317.5,349.3,344.6,351.3,316.5,339.4,334.9
LT_Debt,1189.5,1189.3,1189.2,1192.6,1148.0,1397.0,1147.2,1249.3,1263.5,1236.8,1311.0,1336.6
Revenue,568.3,526.1,490.4,493.6,449.1,547.0,491.7,521.3,508.3,537.5,485.0,524.8
Shares_Diluted,124.297,123.637,123.199,122.507,122.048,125.622,123.683,123.92,123.664,179.63,123.045,104.57
Total_Assets,3602.3,3487.3,3401.1,3405.4,3367.2,3627.1,3261.6,3311.0,3301.0,3259.7,3221.5,3312.9
Total_Liabilities,2018.0,1997.5,1964.8,2009.9,2016.4,2316.1,1896.0,1992.3,2025.7,2031.1,2041.4,2168.9
