AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,0.2,0.3,0.3,0.5,0.2,0.6,0.2,0.7,1.0,0.6,1.5,0.8,0.3,0.3,0.1,0.2,0.3,0.8
Current_Liabilities,17.6,16.9,16.2,16.1,16.8,15.5,14.8,14.1,13.0,11.2,8.8,8.2,8.5,6.8,2.7,2.0,1.2,1.2
Diluted_EPS,,-0.014,-0.002,0.038,-0.013,-0.005,-0.004,-0.009,-0.03,-0.038,-0.022,0.006,-0.053,-0.042,-0.013,-0.018,-0.019,-0.017
Goodwill_Intangibles,13.2,13.2,17.3,17.3,23.0,23.0,23.0,23.0,23.0,23.0,23.1,23.2,23.3,23.4,5.7,5.7,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.3,,,,,
Shares_Diluted,392.3594,379.4709,386.7515,418.7588,377.3928,374.2382,370.4439,369.5472,94.1933,89.9742,88.9645,94.7367,87.3448,83.439,74.5266,65.3844,50.7493,37.251
Total_Assets,36.0,36.1,40.2,40.4,23.1,23.6,23.2,23.7,24.0,23.7,24.6,24.0,23.6,23.7,7.5,7.7,0.4,0.8
Total_Liabilities,,16.7,16.0,16.0,16.8,15.7,15.2,14.8,14.0,11.9,9.7,8.2,8.5,6.8,2.7,2.0,1.2,1.2
