AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,588.3,626.6,657.2,706.6,753.2,827.3,854.6,1036.4,1061.3,1113.3,1143.6,321.7,,,,,
Current_Liabilities,115.6,114.1,105.1,116.3,128.8,141.6,127.1,91.3,98.3,121.0,106.6,100.7,,,,,
Diluted_EPS,-1.42,-0.231,-0.253,-0.253,-0.261,-0.18,-0.2,-0.152,-0.161,-0.214,-0.269,-0.3939999999999999,-0.111,-0.102,-0.109,-0.089,-0.096
Goodwill_Intangibles,242.1,570.3,552.5,570.3,586.0,595.2,603.8,245.5,247.5,249.4,251.6,253.5,,,,,
Inventory,8.4,8.7,8.0,7.9,8.0,7.5,9.1,8.9,9.4,9.1,7.8,5.2,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,64.0,79.2,69.2,64.5,64.2,72.8,62.2,60.2,57.6,60.4,62.6,68.6,53.7,45.0,34.7,35.4,33.7
Shares_Diluted,279.9666,264.8298,277.3897,273.3207,268.0021,265.9295,257.284,249.3667,243.5446,235.6041,234.2352,220.1646,,,,,
Total_Assets,850.5,1217.6,1231.8,1298.5,1361.8,1445.8,1484.4,1292.3,1322.2,1376.6,1414.0,596.4,,,,,
Total_Liabilities,155.4,153.7,147.3,158.5,174.4,206.6,208.4,120.8,128.2,152.5,139.6,138.6,,,,,
