AAII_QTR_DATA,12/31/2022
Current_Assets,15969.5
Current_Liabilities,11095.5
Diluted_EPS,0.425
Goodwill_Intangibles,8195.0
Inventory,7614.1
LT_Debt,18369.3
Revenue,18679.9
Shares_Diluted,1112.257
Total_Assets,41861.5
Total_Liabilities,32539.3
