AAII_QTR_DATA,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,338.4,254.3,275.9,315.2,325.8,279.0,370.6,402.6
Current_Liabilities,566.2,486.9,507.9,549.0,547.4,446.8,542.5,579.9
Diluted_EPS,-1.455,-0.337,-0.465,-0.592,-0.489,-0.959,-0.428,-2.827
Goodwill_Intangibles,2229.1,2259.3,2208.7,2280.7,2253.5,2290.4,2231.4,2310.9
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3264.8,3229.9,3154.2,3194.2,3188.2,3186.7,3151.7,3158.5
Revenue,424.7,423.8,420.0,433.8,450.2,454.8,448.6,326.8
Shares_Diluted,57.2597,56.5974,56.3702,56.2485,55.8392,55.2403,54.6718,48.2213
Total_Assets,4739.0,4757.7,4689.7,4894.7,4911.1,4537.6,4593.2,4794.6
Total_Liabilities,4542.2,4466.6,4417.0,4539.5,4551.0,4122.9,4117.2,4292.4
