AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,1324.3,1315.4,979.3,1181.1,1125.9,909.7,1014.6,964.2,1000.9,951.5,872.9,714.0,899.7,657.2,783.2,668.9,621.3,647.9,691.3,707.0
Current_Liabilities,1009.4,1020.4,615.5,836.7,788.0,614.5,757.2,709.6,800.7,792.7,705.9,556.8,758.1,529.8,657.4,540.9,498.0,525.7,561.1,665.9
Diluted_EPS,1.457,1.354,1.828,1.524,1.53,1.304,1.083,2.135,4.42,0.579,1.544,1.25,1.607,0.175,0.018,-0.1169999999999999,0.14,0.081,0.209,-0.4320000000000001
Goodwill_Intangibles,165.2,167.9,166.2,168.9,171.7,178.8,186.7,194.6,203.2,13.5,13.7,13.9,14.1,14.4,14.5,14.7,15.0,15.2,15.5,
Inventory,967.5,922.6,625.5,741.0,764.3,558.3,565.7,458.0,560.9,517.7,413.2,321.3,413.1,262.9,372.2,292.9,266.4,276.3,289.8,280.1
LT_Debt,1.8,1.8,98.2,94.1,93.9,93.7,93.4,93.2,93.1,92.9,92.7,92.5,92.3,92.2,92.0,91.9,86.7,86.6,94.3,7.2
Revenue,2317.2,1949.7,1900.4,2089.8,2109.1,1946.4,2014.0,2178.7,2049.5,1518.7,1866.1,1665.8,1258.7,1055.6,1481.0,850.2,1267.0,1100.9,1565.1,1766.8
Shares_Diluted,24.6554,24.7316,24.6852,24.4924,24.4258,24.3842,24.0186,23.8942,17.3366,15.4266,14.95,14.2654,7.0428,7.0563,7.091,7.0312,7.0844,7.0856,7.0919,7.0314
Total_Assets,1592.9,1582.4,1240.4,1442.7,1346.6,1135.9,1247.3,1191.6,1233.4,1007.1,920.8,758.0,941.0,700.9,827.2,705.4,657.8,684.1,726.6,743.0
Total_Liabilities,1031.9,1043.9,735.5,954.1,904.8,732.7,877.1,829.0,924.8,893.5,806.6,657.0,858.0,629.5,757.2,635.7,587.5,615.1,658.5,677.3
