AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,20.1,26.5,10.3,15.7,22.9,27.0,10.2,8.6,,
Current_Liabilities,17.5,17.4,8.7,9.5,12.0,11.1,14.7,9.0,,
Diluted_EPS,-0.419,-0.408,-0.284,-0.336,-0.28,-0.569,-0.334,-0.381,-0.27,-0.144
Goodwill_Intangibles,15.9,16.7,12.7,13.3,13.8,14.2,14.8,15.3,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,20.6,20.2,0.0,0.0,0.0,0.0,4.9,5.0,0.0,0.0
Revenue,9.7,7.6,4.9,5.6,6.2,5.9,4.8,3.5,0.0,0.0
Shares_Diluted,21.1626,20.902,20.3487,19.8473,19.6292,10.0765,14.3336,14.3336,,
Total_Assets,42.2,49.9,25.4,31.6,39.6,44.2,27.3,26.4,,
Total_Liabilities,44.1,43.8,11.4,12.5,15.2,14.5,22.7,17.3,,
