AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,425.6,454.0,443.9,443.3,439.1,431.7,439.8,216.9,212.5,,,,
Current_Liabilities,56.5,49.0,41.5,42.4,42.8,33.2,30.0,28.2,27.8,,,,
Diluted_EPS,-0.05,0.023,0.012,-0.004,-0.015,0.0,0.003,-0.004,0.0,,,,-0.006
Goodwill_Intangibles,43.8,14.5,14.6,14.0,14.5,14.9,0.8,0.8,0.8,,,,
Inventory,69.5,48.2,49.4,45.3,38.0,32.2,27.5,26.7,26.2,,,,
LT_Debt,2.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,37.1,48.3,40.5,40.2,35.1,38.9,34.4,54.7,24.3,30.6,25.1,19.1,18.0
Shares_Diluted,135.4892,151.2223,138.7093,134.4031,133.9025,139.8851,113.6374,82.9283,130.8089,,,,
Total_Assets,524.6,519.5,499.3,492.8,485.9,463.3,454.3,230.3,224.3,,,,
Total_Liabilities,101.1,94.2,82.8,81.8,78.6,58.3,51.4,47.3,45.0,,,,
