AAII_QTR_DATA,09/30/2022,03/31/2022,09/30/2021,03/31/2021,09/30/2020,03/31/2020,09/30/2019,03/31/2019,09/30/2018,03/31/2018,09/30/2017,03/31/2017,09/30/2016
Current_Assets,1228.1,1142.2,1230.9,1080.3,1156.1,889.8,1104.0,929.6,1090.2,956.6,1090.1,921.7,966.4
Current_Liabilities,794.6,628.0,776.1,523.0,666.5,441.9,699.8,476.5,691.2,453.1,668.2,468.6,568.2
Diluted_EPS,0.325,0.38,0.305,0.426,0.49,0.288,0.469,0.323,0.358,0.409,0.412,0.429,0.284
Goodwill_Intangibles,51.8,52.1,52.5,52.9,53.2,53.8,54.3,54.7,54.7,50.7,51.0,51.6,43.2
Inventory,570.0,553.3,599.4,414.0,436.1,372.6,457.3,369.9,492.6,349.9,456.9,324.9,390.5
LT_Debt,164.1,176.5,191.1,188.6,143.3,147.3,120.5,0.0,0.0,0.0,0.5,1.0,0.0
Revenue,1164.8,1255.7,1114.8,1248.7,1123.6,1041.4,1124.1,1158.4,1003.5,1090.4,1039.7,1096.4,982.9
Shares_Diluted,252.5,252.0,252.2,251.7,252.3,252.0,251.6,251.2,251.4,251.0,251.2,251.1,251.1
Total_Assets,1547.3,1486.7,1598.5,1445.6,1463.4,1195.4,1391.5,1086.9,1253.6,1102.7,1240.1,1060.0,1099.3
Total_Liabilities,962.1,807.9,970.1,714.5,814.3,593.9,823.2,479.9,694.2,456.1,674.3,475.3,576.4
