AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,11.3,9.5,11.8,12.9,14.3,14.4,18.0,4.9,10.1,5.9,3.6,2.7,3.0
Current_Liabilities,1.3,2.4,2.4,1.7,1.8,1.3,4.0,6.2,6.1,6.5,5.7,5.4,5.0
Diluted_EPS,-1.916,-5.217,-4.528,-2.502,-2.892,-14.016,-2.426,-4.392,-1.199,-0.657,-0.322,-0.228,0.1369999999999999
Goodwill_Intangibles,15.7,15.7,15.3,15.3,15.2,15.4,20.1,20.3,20.5,20.7,20.9,21.1,21.3
Inventory,1.1,1.7,1.1,0.6,0.9,1.2,0.9,0.7,0.8,0.8,0.9,0.8,0.9
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,8.2,8.5,8.9,9.3
Revenue,2.8,2.1,2.8,3.4,3.7,2.4,2.4,2.8,2.4,2.6,2.6,2.5,3.7
Shares_Diluted,0.9961,0.4805,0.4804,0.4797,0.4741,0.455,0.2985,0.2666,4.8193,3.5615,3.4252,3.0337,3.0153
Total_Assets,27.5,25.6,27.6,28.6,29.8,30.1,38.4,25.5,30.9,26.9,24.8,24.2,24.4
Total_Liabilities,1.7,2.9,2.7,2.0,2.2,1.7,4.2,6.4,10.6,16.0,15.6,15.7,15.3
