AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,10/31/2019,09/30/2019,07/31/2019,06/30/2019,04/30/2019,03/31/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018
Current_Assets,79.4,99.4,97.3,102.2,121.5,125.2,87.7,42.1,55.6,,,33.4,,44.6,,39.1,,59.5,40.2,42.4,58.5
Current_Liabilities,15.2,22.7,25.6,22.8,21.9,73.1,19.9,14.7,13.2,,,10.2,,12.9,,9.9,,16.7,15.7,11.6,32.0
Diluted_EPS,-0.168,-0.218,-0.277,-0.201,-0.269,-0.211,-0.176,-0.264,-0.22699999999999998,-0.091,-0.887,-0.055999999999999994,-0.199,-0.040999999999999995,-0.20800000000000002,-0.032,-0.085,-0.065,-0.126,0.408,-0.09699999999999999
Goodwill_Intangibles,10.7,11.8,12.4,12.6,13.2,13.4,13.5,13.4,14.2,,,15.2,,15.4,,11.9,,15.8,16.1,16.4,21.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,25.3,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.6,0.0,0.8,0.0,0.0,4.1
Revenue,0.2,0.3,0.3,1.3,0.1,0.2,0.2,0.2,0.2,0.3,0.7,0.1,0.1,0.1,0.2,0.3,0.5,0.6,0.9,48.4,5.0
Shares_Diluted,99.6541,98.0701,97.8751,97.4526,90.6509,82.8178,76.4156,67.2319,67.2319,,,160.495,,160.495,,160.3981,,101.962,82.137,82.65700000000002,76.5711
Total_Assets,95.7,116.5,113.4,128.7,145.5,140.8,102.5,56.9,70.9,,,50.2,,61.7,,52.3,,77.3,57.2,59.6,81.3
Total_Liabilities,44.4,52.1,30.1,26.4,26.1,76.4,23.0,20.0,19.0,,,15.9,,18.8,,14.6,,23.1,21.4,17.5,73.9
