AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,208.8,258.7,554.0,577.8,531.5,519.5,518.7,520.2
Current_Liabilities,98.6,166.7,225.4,210.9,196.4,189.7,208.6,179.9
Diluted_EPS,0.256,-2.836,-3.721,-0.054,0.237,-0.14,-0.43,-0.011
Goodwill_Intangibles,722.4,746.1,1300.7,1589.5,1628.8,1669.0,1715.6,1759.3
Inventory,,,9.1,7.6,6.8,5.1,9.4,9.3
LT_Debt,610.6,619.6,752.2,711.3,720.3,729.4,738.4,747.5
Revenue,117.3,438.9,210.9,234.0,138.5,214.4,219.4,222.3
Shares_Diluted,113.447,104.336,104.51,104.001,105.332,104.246,104.849,104.906
Total_Assets,1153.8,1210.5,2160.7,2481.3,2478.8,2470.0,2524.5,2576.8
Total_Liabilities,831.2,909.1,1168.3,1114.1,1114.0,1120.4,1144.8,1135.3
