AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,116.5,130.3,149.5,128.1,107.9,79.1,,,,,
Current_Liabilities,123.9,116.5,157.9,105.9,89.1,71.1,,,,,
Diluted_EPS,-0.061,0.052,-0.335,-0.092,-0.142,-0.166,-0.067,-0.007,-0.154,-0.003,-0.002
Goodwill_Intangibles,46.6,46.9,47.1,44.6,26.1,14.2,,,,,
Inventory,0.1,0.2,0.2,0.1,0.1,0.2,,,,,
LT_Debt,0.1,22.9,22.4,29.7,30.8,14.2,0.0,0.0,0.0,0.0,0.0
Revenue,168.0,185.9,344.0,163.0,119.3,117.0,129.6,111.1,84.7,0.0,0.0
Shares_Diluted,202.4687,231.3884,201.1755,188.4086,156.3655,152.2226,,,,,
Total_Assets,168.5,187.5,207.3,186.5,143.6,102.4,,,,,
Total_Liabilities,127.6,141.6,182.8,138.4,121.3,85.6,,,,,
