AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,62.0,65.0,0.2,0.5,1.0,65.2,0.0
Current_Liabilities,141.8,124.3,0.5,0.3,0.0,103.1,0.2
Diluted_EPS,,-8.896,-0.103,-0.213,0.285,-3.868,0.0
Goodwill_Intangibles,253.9,271.7,,,,343.2,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,301.4,287.4,0.0,0.0,0.0,307.5,0.0
Revenue,63.2,288.5,,,,546.2,
Shares_Diluted,,12.6185,17.9688,17.9688,17.9688,17.9688,17.9688
Total_Assets,361.5,378.0,145.5,145.7,146.2,473.1,0.2
Total_Liabilities,393.0,408.5,22.0,20.5,17.1,471.6,0.2
