AAII_QTR_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,2.4,4.5,8.1,6.6,8.2,0.1,0.1,0.6,0.1,0.3,0.1,,,
Current_Liabilities,0.3,0.3,0.6,2.7,3.2,15.4,14.4,13.8,12.1,11.1,9.3,,,
Diluted_EPS,,,-0.166,-0.067,-0.823,-0.051,-0.082,-0.117,-0.109,-0.18600000000000003,-0.278,-0.083,-0.09,-0.084
Goodwill_Intangibles,4.0,3.7,2.7,2.4,2.1,1.8,1.5,1.3,1.3,1.3,1.6,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.2,0.2
Shares_Diluted,,,12.377,11.2918,11.2918,11.2918,11.2918,11.2918,11.2918,11.2918,11.2918,,,
Total_Assets,6.5,8.2,10.9,9.2,10.4,2.3,1.9,2.2,1.7,1.9,1.7,,,
Total_Liabilities,,,0.6,2.7,3.2,15.4,14.4,13.8,12.1,11.1,9.3,,,
