AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,251.5,248.6,238.5,235.0,238.5,243.1,229.3,371.3,362.1,375.7,370.3,172.7,181.4,187.7,228.1,220.0,90.6,97.0,95.4
Current_Liabilities,56.0,62.6,58.4,59.3,62.5,64.2,50.0,36.1,32.7,16.8,13.9,13.1,19.2,17.5,16.8,15.3,14.3,13.1,10.4
Diluted_EPS,-0.112,-0.054,-0.122,-0.133,-0.203,-0.148,-0.203,-0.134,-0.661,-0.139,-0.075,-0.22,-0.235,-0.152,-0.015,-0.055,-0.047,-0.076,-0.1159999999999999
Goodwill_Intangibles,869.9,870.8,853.4,874.4,900.6,910.6,923.8,627.5,634.3,62.6,63.9,65.2,66.5,67.7,12.3,12.5,12.8,13.1,13.3
Inventory,13.3,14.3,13.8,14.6,12.4,11.2,9.8,6.7,6.3,4.7,4.5,7.0,6.1,6.8,6.6,5.1,3.8,3.4,3.5
LT_Debt,0.2,0.4,0.5,0.6,0.6,0.6,1.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,12.9,23.9,25.3
Revenue,82.4,80.3,75.6,72.9,67.8,67.3,60.4,55.1,36.7,34.5,31.1,20.7,31.1,29.7,31.0,30.1,29.5,25.8,23.5
Shares_Diluted,72.1755,71.8288,71.6567,71.477,71.2297,71.0994,69.7437,67.3161,63.3317,58.0587,54.8581,50.2121,49.7926,49.1282,48.5883,45.5861,41.1686,40.7721,38.62
Total_Assets,1157.1,1156.4,1126.0,1144.2,1173.6,1187.8,1186.4,1027.4,1025.1,457.2,454.2,256.7,267.1,275.2,260.3,252.4,123.5,120.6,119.1
Total_Liabilities,75.9,81.2,77.8,80.0,88.4,91.3,79.3,56.3,50.9,35.9,31.4,30.6,36.7,35.8,29.3,28.1,39.8,40.9,39.7
