AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
Current_Assets,63.2,65.2,69.2,24.6,18.3,14.5,13.9,14.0,14.6,18.9,13.5,11.2,10.0
Current_Liabilities,7.5,8.0,10.8,15.1,9.2,7.2,6.0,5.7,3.8,4.2,5.4,5.6,4.3
Diluted_EPS,-0.126,0.548,-0.109,-0.173,-0.37,-0.213,-0.515,-0.395,-0.761,-0.546,-0.941,-0.7440000000000001,-2.275
Goodwill_Intangibles,1.5,1.9,1.9,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
Inventory,0.6,0.7,0.5,0.3,0.3,0.3,0.2,0.0,1.0,0.8,0.5,0.7,0.4
LT_Debt,0.8,0.9,0.9,1.0,1.0,1.1,1.2,1.2,1.3,1.4,1.4,0.0,0.0
Revenue,4.2,7.7,3.2,3.6,5.0,4.3,8.5,6.0,2.2,2.6,6.4,1.9,2.3
Shares_Diluted,17.7199,28.777,18.0632,7.3309,4.7992,4.45,4.1991,3.6186,3.2268,2.9105,1.6858,1.3838,0.93
Total_Assets,69.5,71.9,80.3,33.7,27.6,23.1,22.2,22.5,17.6,21.3,15.2,11.8,10.4
Total_Liabilities,9.9,14.4,38.5,17.6,12.0,9.9,8.7,8.5,6.6,7.4,8.3,7.2,5.6
