AAII_QTR_DATA,02/28/2023,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,08/31/2020,02/29/2020,11/30/2019,08/31/2019,02/28/2019,11/30/2018
Current_Assets,6.2,4.8,8.6,11.8,12.4,14.4,15.8,,1.9,1.4,,,,
Current_Liabilities,3.4,3.2,2.1,2.5,2.0,2.0,2.0,,1.4,1.3,,,,
Diluted_EPS,-0.569,-0.596,-0.36,-0.171,-0.328,-0.305,-0.349,-0.445,-0.215,-0.019,-0.026,0.022,-0.008,0.013
Goodwill_Intangibles,8.0,8.0,7.7,7.5,7.6,7.7,7.6,,,,,,,
Inventory,1.9,2.0,1.6,2.4,2.2,2.1,1.5,,0.4,0.8,,,,
LT_Debt,1.4,1.5,1.5,1.6,1.8,1.8,1.8,0.0,0.7,0.7,0.0,0.0,0.0,0.0
Revenue,0.6,1.0,2.5,1.5,0.6,0.9,1.7,0.6,1.8,0.3,0.1,2.2,0.2,0.7
Shares_Diluted,8.7266,8.4301,8.3169,8.3805,8.342,8.3248,8.3286,,8.0403,8.0403,,,,
Total_Assets,17.6,18.3,21.5,24.5,24.9,27.4,28.7,,2.8,2.3,,,,
Total_Liabilities,7.7,4.9,3.8,4.2,3.9,3.8,3.9,,2.2,2.6,,,,
