AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,259.3,289.6,327.4,356.8,390.0,430.0,404.7,344.6,0.4,0.7,102.0,1.0,1.1,1.3,1.5
Current_Liabilities,44.8,45.4,47.1,44.7,40.0,43.4,65.4,58.2,0.7,0.7,56.3,0.2,0.1,0.7,0.5
Diluted_EPS,-0.223,-0.248,-0.19,-0.279,-0.411,-0.216,-0.64,-0.038,-0.07,-0.17,-0.401,-0.396,0.012,-0.057999999999999996,0.111
Goodwill_Intangibles,1.6,1.8,1.9,1.5,1.6,1.7,1.8,1.9,,,2.2,,,,
Inventory,13.5,12.5,9.3,11.9,16.7,20.9,18.1,16.4,,,15.0,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,11.5,6.2,17.5,13.1,13.6,17.7,17.8,32.1,28.4,17.0,101.4,,,,
Shares_Diluted,198.9471,198.1661,197.4216,196.2047,193.0028,189.2228,174.0771,140.4904,139.8632,137.912,133.9427,30.4706,30.4706,30.4706,36.807
Total_Assets,301.8,332.9,375.4,401.9,436.6,477.6,432.7,370.6,117.7,250.2,136.2,248.9,248.0,247.6,246.4
Total_Liabilities,71.6,73.2,76.2,74.2,70.9,85.9,91.9,85.1,0.7,0.7,59.9,243.9,243.0,242.6,241.4
