AAII_QTR_DATA,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,5.3,5.9,6.3,5.5,5.9,6.3,6.5,7.4,8.0,6.7,7.2,7.2,4.7,4.8,6.3,6.3,6.5,6.6
Current_Liabilities,5.7,5.7,5.9,5.0,4.4,4.1,3.6,3.8,5.2,5.9,5.2,6.0,3.3,2.8,3.9,2.9,2.9,3.0
Diluted_EPS,-0.121,0.011,-0.05,-0.2,-0.137,0.027,-0.127,-0.01,0.309,-0.17,-0.001,0.031,-0.107,-0.074,-0.055,-0.009,0.012,-0.001
Goodwill_Intangibles,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,,,,,,
Inventory,2.8,2.9,3.0,3.3,3.1,3.6,3.9,4.0,5.2,4.4,4.0,4.5,3.8,3.2,3.3,3.5,3.8,4.4
LT_Debt,0.0,0.0,0.0,0.1,0.1,0.1,1.2,1.2,0.4,0.4,0.6,0.0,0.0,0.1,0.1,0.2,0.5,0.6
Revenue,1.7,2.0,2.8,1.6,1.6,1.9,1.9,3.7,2.9,2.3,3.7,3.2,1.5,3.2,2.7,3.5,4.2,3.3
Shares_Diluted,5.878,6.078,5.878,5.878,5.878,6.078,5.878,5.878,6.078,5.878,5.877999999999999,5.877999999999999,5.877999999999999,5.877999999999999,5.877999999999999,5.879,6.0870000000000015,5.88
Total_Assets,6.7,7.5,7.7,7.1,7.7,8.3,8.8,9.9,10.6,9.6,10.3,10.5,7.8,8.1,9.8,7.8,8.1,8.2
Total_Liabilities,5.9,6.0,6.2,5.4,4.8,4.6,5.3,5.6,6.3,7.2,6.8,7.1,4.5,4.2,5.5,3.1,3.4,3.6
