AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,3139.0,4699.0,4083.0,4443.0,4188.0,7355.0,7708.0,5179.0,3219.0,2920.0,2785.0,2501.0,4164.0,3937.0,3416.0,3326.0,3419.0,7025.0,2726.0
Current_Liabilities,3150.0,5113.0,4611.0,4318.0,4605.0,4287.0,4507.0,3369.0,4326.0,4825.0,3830.0,4309.0,4042.0,3978.0,3434.0,2996.0,3139.0,3302.0,2581.0
Diluted_EPS,0.494,0.194,0.299,0.283,0.821,1.006,0.32,0.371,0.529,0.275,0.126,0.111,-2.446,0.253,0.477,0.327,0.278,0.178,0.352
Goodwill_Intangibles,4331.0,4332.0,4334.0,4335.0,4337.0,4338.0,4339.0,4341.0,4746.0,4747.0,4749.0,4751.0,4753.0,4940.0,5535.0,5549.0,5589.0,932.0,934.0
Inventory,781.0,876.0,882.0,636.0,512.0,608.0,593.0,440.0,377.0,500.0,534.0,462.0,375.0,472.0,572.0,479.0,371.0,394.0,405.0
LT_Debt,15783.0,14836.0,13435.0,13237.0,12106.0,15558.0,15394.0,15853.0,14048.0,11521.0,11946.0,10937.0,13830.0,14244.0,14014.0,14121.0,13759.0,8682.0,7252.0
Revenue,2779.0,2711.0,1903.0,1944.0,2763.0,2314.0,1749.0,1742.0,2547.0,2054.0,1622.0,1575.0,2167.0,2019.0,1658.0,1658.0,2229.0,3036.0,2212.0
Shares_Diluted,633.0,629.0,633.0,632.0,631.0,637.0,609.0,596.0,631.0,549.0,548.0,531.0,502.0,505.0,505.0,505.0,504.0,505.538,434.891
Total_Assets,37752.0,38546.0,36719.0,36216.0,35202.0,37679.0,37160.0,36466.0,35906.0,33471.0,32705.0,32148.0,33395.0,35529.0,34642.0,34189.0,33902.0,27009.0,22228.0
Total_Liabilities,27396.0,28504.0,26728.0,26193.0,25251.0,28264.0,28295.0,27596.0,27190.0,25123.0,24317.0,23756.0,26425.0,27170.0,26296.0,25932.0,25686.0,18951.0,16720.0
