AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020,03/31/2020
Current_Assets,438.2,433.1,696.0,912.2,900.9,915.3,922.1,297.8,444.5,,,
Current_Liabilities,335.2,333.3,666.7,896.8,285.9,272.7,297.5,231.3,187.9,,,
Diluted_EPS,0.007,-0.032,0.012,0.03,0.008,0.004,-0.009,0.015,0.007,0.051,0.026,0.045
Goodwill_Intangibles,913.7,908.4,952.5,955.3,885.2,870.6,838.9,595.1,347.4,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,15.6,16.7,6.8,7.1,461.5,462.2,462.9,462.2,427.7,0.0,0.0,0.0
Revenue,223.5,222.1,192.5,371.6,180.8,164.1,147.3,154.6,127.8,402.6,81.7,114.5
Shares_Diluted,1110.519,1110.519,1110.242,1110.242,1110.242,1110.242,1109.126,1109.126,295.822,,,
Total_Assets,1505.3,1495.7,1809.6,1989.3,1906.9,1907.1,1843.1,1083.2,959.6,,,
Total_Liabilities,685.0,686.4,959.4,1171.3,1130.7,1111.6,1128.3,857.8,779.0,,,
