AAII_QTR_DATA,01/01/2021,10/02/2020,07/03/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,898.0,910.0,861.0,887.0,844.0,934.0,895.0,878.0,843.0,1005.0
Current_Liabilities,1072.0,1101.0,1109.0,1057.0,1027.0,1078.0,1035.0,1014.0,1013.0,1168.0
Diluted_EPS,0.191,0.099,-0.019,-4.893,0.326,0.178,0.19,-0.116,0.231,0.145
Goodwill_Intangibles,3728.0,3789.0,3850.0,3864.0,4716.0,4773.0,4586.0,4645.0,4678.0,4714.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,2218.0,2301.0,2336.0,2419.0,2449.0,2599.0,2438.0,2465.0,2533.0,2570.0
Revenue,1134.0,1142.0,1108.0,1099.0,1126.0,1172.0,1107.0,1094.0,1075.0,1068.0
Shares_Diluted,162.13,161.9,160.64,161.24,162.47,162.9,163.29,163.18,164.54,165.79
Total_Assets,5202.0,5306.0,5330.0,5405.0,6189.0,6319.0,6118.0,6083.0,6066.0,6281.0
Total_Liabilities,3794.0,3937.0,3982.0,4048.0,3983.0,4156.0,3963.0,3921.0,3869.0,4078.0
