AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021
Current_Assets,269.1,230.7,153.7,238.7,,,
Current_Liabilities,160.3,167.3,202.5,277.8,,,
Diluted_EPS,-1.24,-1.514,-0.105,-0.742,-0.31,-0.408,-1.102
Goodwill_Intangibles,26.4,37.3,33.6,34.3,,,
Inventory,75.2,71.5,67.5,54.7,,,
LT_Debt,807.5,780.0,553.7,553.5,0.0,0.0,0.0
Revenue,15.9,25.6,19.1,40.3,0.8,39.7,2.4
Shares_Diluted,222.7258,211.6678,81.92,248.6495,,,
Total_Assets,895.5,828.4,683.1,774.5,,,
Total_Liabilities,1551.2,1392.9,960.4,1070.7,,,
