AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,204.4,185.8,160.0,152.4,142.4,138.0,126.9,135.8
Current_Liabilities,72.0,62.6,50.5,50.1,40.3,36.6,31.1,35.1
Diluted_EPS,1.06,0.994,0.825,0.872,0.309,0.118,-0.938,-1.158
Goodwill_Intangibles,25.6,26.3,27.0,10.7,11.4,12.1,12.8,18.9
Inventory,134.5,112.1,103.2,98.3,90.2,88.8,85.1,89.0
LT_Debt,67.2,70.0,69.3,47.3,57.8,62.5,60.5,67.4
Revenue,116.2,116.2,95.7,86.2,83.1,69.8,55.9,59.3
Shares_Diluted,10.431,10.32,9.78,9.403,9.331,9.288,9.159,9.105
Total_Assets,306.4,289.6,266.0,224.2,217.0,215.3,207.0,224.7
Total_Liabilities,172.6,167.3,154.4,130.9,132.3,133.8,126.7,136.5
