AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,165.0,170.6,135.9,147.9,154.5,155.8,146.7,148.5,155.7,156.2,152.9,149.8,138.4,148.6
Current_Liabilities,58.6,55.7,55.1,53.8,59.6,59.2,58.9,59.8,64.6,66.7,73.4,58.5,45.8,49.9
Diluted_EPS,-0.169,-0.168,-0.111,-0.085,-0.111,-0.111,-0.048,-0.068,-0.10400000000000001,-0.048,-0.049,-0.061,-0.045,-0.098
Goodwill_Intangibles,34.7,34.9,35.1,35.4,35.6,35.8,34.4,34.6,34.7,34.9,35.0,35.4,35.8,36.2
Inventory,12.3,12.8,11.1,8.9,9.3,13.5,12.6,15.5,17.3,15.2,10.7,9.2,10.7,13.3
LT_Debt,39.5,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,32.8,31.9,41.0,38.2,35.3,31.2,39.1,34.8,32.8,29.3,30.6,27.6,26.6,25.3
Shares_Diluted,36.8272,36.5392,36.4306,36.2864,35.9414,35.5355,35.3195,35.1632,34.9176,34.6256,34.4525,34.3482,34.2137,33.9839
Total_Assets,229.3,236.3,203.4,201.6,209.0,210.4,201.6,201.1,208.3,207.5,215.2,201.6,189.7,199.8
Total_Liabilities,114.9,114.9,77.4,74.5,81.6,82.4,71.4,72.1,77.2,76.3,83.3,68.1,55.4,65.1
