AAII_QTR_DATA,03/31/2023,12/31/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,20628.3,24986.1,18737.4,18748.2,17397.9,19326.4,,,,,,,,20874.6,,18152.6,
Current_Liabilities,27379.8,31160.4,26681.0,25614.9,22173.5,22587.0,,,,,,,,25807.0,,23631.9,
Diluted_EPS,,1.998,1.219,,1.216,,1.279,,0.868,1.243,,1.043,,1.359,,2.803,
Goodwill_Intangibles,43598.6,43616.9,41554.8,38014.3,37624.5,38467.6,,,,,,,,35893.6,,34589.4,
Inventory,6386.5,6345.6,5042.7,5132.0,4804.7,5002.8,,,,,,,,5206.5,,5044.2,
LT_Debt,25534.2,26843.5,24638.3,22421.1,24598.4,25857.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27734.3,0.0,27121.0,0.0
Revenue,15882.8,32788.6,31898.0,14840.5,28700.0,14486.2,27771.7,13274.8,24869.9,25570.0,13019.8,27059.1,14975.8,31006.3,15137.6,28886.1,14755.4
Shares_Diluted,,2553.4,2566.2,,2592.0,,2627.2,,2632.4,2627.2,,2627.8,,2625.6,,2652.3,
Total_Assets,83797.7,91411.7,80862.3,75983.3,72855.2,75783.0,,,,,,,,76583.0,,71671.0,
Total_Liabilities,63315.8,69723.9,62441.5,57660.5,56416.8,58943.0,,,,,,,,61498.8,,58304.6,
